trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,0,78,0,175.30692280014046,,175.26160720014013,10,175.30692280014046,175.30692280014046,0.023414700059220195,177.3948775001336,[0.402],[-0.42],[1],[0],[0],[2.1099631001707166],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
79,0,79,0,177.44255820009857,,177.39746599993668,10,177.44255820009857,177.44255820009857,0.03241999982856214,178.9138501000125,[0.126],[-0.076],[1],[0],[0],[1.4840689999982715],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
80,0,80,0,178.94478689995594,,178.91602999996394,5,178.94478689995594,178.94478689995594,0.011005299864336848,180.71555380010977,[-0.176],[0.362],[1],[0],[0],[1.7885302999056876],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
81,0,81,0,180.74664489994757,,180.7178001999855,5,180.74664489994757,180.74664489994757,0.013959599891677499,183.2018097001128,[-0.036],[-0.15],[1],[0],[0],[2.4699935000389814],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
82,0,82,0,183.2325109001249,,183.20395230012946,5,183.2325109001249,183.2325109001249,0.010960499988868833,184.72050289995968,[-0.452],[0.308],[1],[0],[0],[1.5054764999076724],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
83,0,83,0,184.7674778001383,,184.7227652000729,10,184.7674778001383,184.7674778001383,0.02130250004120171,188.07348070014268,[-0.216],[-0.484],[1],[0],[0],[3.3293361000251025],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
84,0,84,0,188.10445610014722,,188.075693000108,5,188.10445610014722,188.10445610014722,0.013658200157806277,189.82590300007723,[0.354],[-0.318],[1],[0],[0],[1.7365610001143068],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
85,0,85,0,189.87291239993647,,189.82810709998012,10,189.87291239993647,189.87291239993647,0.021275999955832958,191.47770019993186,[-0.204],[-0.284],[1],[0],[0],[1.6282369000837207],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
86,0,86,0,191.5084286001511,,191.47990539995953,5,191.5084286001511,191.5084286001511,0.011363500030711293,192.9301875999663,[0.084],[-0.234],[1],[0],[0],[1.4388727000914514],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
87,0,87,0,192.97659910004586,,192.93239270010963,10,192.97659910004586,192.97659910004586,0.024772000033408403,194.34745490015484,[0.356],[-0.122],[1],[0],[0],[1.3902505999431014],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
